file_path,date,timestamp,camera_number,rat_number,movie_name,plane_crossing,reach_start,reach_start_second,end_reach_second,end_of_reach,wall_x,exclude,pellet_x,pellet_y,shelf_width_px,experimental_group,DLC_data_output,DLC_data_path,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat819left/2025-07-03_14_42_15_camcommerb1/2025-07-03_14_42_15_camcommerb1_wbgam_h264.mp4,7/3/25,14_42_15,1,819,2025-07-03_14_42_15_camcommerb1_wbgam_h264.mp4,660,552,660,552,718,1026,no,894,374,140,experimental,2025-07-03_14_42_15_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_14_42_15_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat819left/2025-07-03_14_44_01_camcommerb1/2025-07-03_14_44_01_camcommerb1_wbgam_h264.mp4,7/3/25,14_44_01,1,819,2025-07-03_14_44_01_camcommerb1_wbgam_h264.mp4,537,421,537,421,,1022,yes,,,138,experimental,2025-07-03_14_44_01_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_14_44_01_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat819left/2025-07-03_14_40_14_camcommerb1/2025-07-03_14_40_14_camcommerb1_wbgam_h264.mp4,7/3/25,14_40_14,1,819,2025-07-03_14_40_14_camcommerb1_wbgam_h264.mp4,532,423,532,423,572,1022,no,890,374,139,experimental,2025-07-03_14_40_14_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_14_40_14_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat819left/2025-07-03_14_39_28_camcommerb1/2025-07-03_14_39_28_camcommerb1_wbgam_h264.mp4,7/3/25,14_39_28,1,819,2025-07-03_14_39_28_camcommerb1_wbgam_h264.mp4,493,446,493,446,526,1024,no,894,374,137,experimental,2025-07-03_14_39_28_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_14_39_28_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat819left/2025-07-03_14_38_04_camcommerb1/2025-07-03_14_38_04_camcommerb1_wbgam_h264.mp4,7/3/25,14_38_04,1,819,2025-07-03_14_38_04_camcommerb1_wbgam_h264.mp4,540,489,540,489,576,1022,no,896,374,141,experimental,2025-07-03_14_38_04_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_14_38_04_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat817left/2025-07-03_12_13_46_camcommerb1/2025-07-03_12_13_46_camcommerb1_wbgam_h264.mp4,7/3/25,12_13_46,1,817,2025-07-03_12_13_46_camcommerb1_wbgam_h264.mp4,569,N/A,550,603,602,1016,no,886,374,144,experimental,2025-07-03_12_13_46_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_12_13_46_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat817left/2025-07-03_12_14_46_camcommerb1/2025-07-03_12_14_46_camcommerb1_wbgam_h264.mp4,7/3/25,12_14_46,1,817,2025-07-03_12_14_46_camcommerb1_wbgam_h264.mp4,430,299,430,299,449,1018,no,884,376,150,experimental,2025-07-03_12_14_46_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_12_14_46_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat817left/2025-07-03_12_18_00_camcommerb1/2025-07-03_12_18_00_camcommerb1_wbgam_h264.mp4,7/3/25,12_18_00,1,817,2025-07-03_12_18_00_camcommerb1_wbgam_h264.mp4,650,566,650,566,769,1025,no,887,374,148,experimental,2025-07-03_12_18_00_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_12_18_00_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat817left/2025-07-03_12_19_33_camcommerb1/2025-07-03_12_19_33_camcommerb1_wbgam_h264.mp4,7/3/25,12_19_33,1,817,2025-07-03_12_19_33_camcommerb1_wbgam_h264.mp4,672,N/A,696,742,742,1020,no,890,374,148,experimental,2025-07-03_12_19_33_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_12_19_33_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat817left/2025-07-03_12_16_15_camcommerb1/2025-07-03_12_16_15_camcommerb1_wbgam_h264.mp4,7/3/25,12_16_15,1,817,2025-07-03_12_16_15_camcommerb1_wbgam_h264.mp4,747,279,747,279,780,1019,no,894,374,147,experimental,2025-07-03_12_16_15_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_12_16_15_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat810right/2025-07-03_12_08_06_camcommerb1/flipped_video/2025-07-03_12_08_06_camcommerb1_wbgam_h264_flipped.mp4,7/3/25,12_08_06,1,810,2025-07-03_12_08_06_camcommerb1_wbgam_h264_flipped.mp4,701,564,701,564,737,696,no,578,344,137.1,control,2025-07-03_12_08_06_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_12_08_06_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat810right/2025-07-03_12_05_51_camcommerb1/flipped_video/2025-07-03_12_05_51_camcommerb1_wbgam_h264_flipped.mp4,7/3/25,12_05_51,1,810,2025-07-03_12_05_51_camcommerb1_wbgam_h264_flipped.mp4,700,676,680,733,734,697,no,566,340,141,control,2025-07-03_12_05_51_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_12_05_51_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat810right/2025-07-03_12_00_05_camcommerb1/flipped_video/2025-07-03_12_00_05_camcommerb1_wbgam_h264_flipped.mp4,7/3/25,12_00_05,1,810,2025-07-03_12_00_05_camcommerb1_wbgam_h264_flipped.mp4,378,322,338,416,414,700,no,576,340,140.1,control,2025-07-03_12_00_05_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_12_00_05_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat810right/2025-07-03_12_04_26_camcommerb1/flipped_video/2025-07-03_12_04_26_camcommerb1_wbgam_h264_flipped.mp4,7/3/25,12_04_26,1,810,2025-07-03_12_04_26_camcommerb1_wbgam_h264_flipped.mp4,252,122,146,283,284,698,no,568,338,144,control,2025-07-03_12_04_26_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_12_04_26_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat810right/2025-07-03_12_03_11_camcommerb1/flipped_video/2025-07-03_12_03_11_camcommerb1_wbgam_h264_flipped.mp4,7/3/25,12_03_11,1,810,2025-07-03_12_03_11_camcommerb1_wbgam_h264_flipped.mp4,680,609,680,609,717,698,no,584,342,145,control,2025-07-03_12_03_11_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_12_03_11_camcommerb1_wbgam_h264_flippedDLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
/zfsr01/storage/gavin_lrn/reaching/cam1/rat816left/2025-07-03_12_28_25_camcommerb1/2025-07-03_12_28_25_camcommerb1_wbgam_h264.mp4,7/3/25,12_28_25,1,816,2025-07-03_12_28_25_camcommerb1_wbgam_h264.mp4,685,456,685,456,734,1015,no,894,376,150,experimental,2025-07-03_12_28_25_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,/zfsr01/storage/gavin_lrn/LRN_reach-gtk-2025-07-08/complete/iteration01_flippedonly/2025-07-03_12_28_25_camcommerb1_wbgam_h264DLC_resnet50_LRN_reachJul8shuffle1_200000.csv,
