scorer,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000
bodyparts,scapula,scapula,scapula,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,1235.2191162109375,246.469482421875,0.998548686504364,1173.01318359375,402.1810607910156,0.9536120295524597,1254.8564453125,551.0659790039062,0.9981769919395447,1197.5465087890625,596.2220458984375,0.9994757771492004
9,1235.2293701171875,246.3477325439453,0.9982870817184448,1170.4788818359375,403.83660888671875,0.9768381118774414,1255.027099609375,552.0994262695312,0.9984999895095825,1197.3994140625,595.9571533203125,0.999524712562561
10,1231.287841796875,247.09344482421875,0.9982447028160095,1170.0714111328125,401.3368225097656,0.9943878650665283,1254.19287109375,551.6337280273438,0.9988616704940796,1197.063720703125,595.722900390625,0.9995013475418091
11,1232.675537109375,246.79965209960938,0.9980059862136841,1169.51318359375,405.0157470703125,0.9981244802474976,1253.85986328125,551.6055908203125,0.9992502927780151,1197.7176513671875,596.0735473632812,0.9995121955871582
12,1227.25341796875,246.47683715820312,0.9984889626502991,1167.845703125,397.8434143066406,0.993493914604187,1253.1392822265625,550.4602661132812,0.9991743564605713,1196.955810546875,595.7418212890625,0.9995154738426208
13,1230.6439208984375,245.3575897216797,0.9984503984451294,1166.500732421875,397.5394592285156,0.9978445768356323,1253.3316650390625,552.3821411132812,0.999001145362854,1196.8680419921875,596.6878051757812,0.9993619918823242
14,1231.3416748046875,243.2058563232422,0.9991023540496826,1166.0882568359375,392.59210205078125,0.9937143921852112,1252.794677734375,551.993896484375,0.9984865188598633,1196.7166748046875,596.8178100585938,0.9993119239807129
15,1230.4757080078125,243.43209838867188,0.9991989135742188,1164.347900390625,393.63397216796875,0.9970114827156067,1251.71484375,552.7301025390625,0.9990458488464355,1196.4482421875,596.8672485351562,0.9993764162063599
16,1228.2193603515625,242.51905822753906,0.9989188313484192,1164.4443359375,391.9910583496094,0.9939999580383301,1250.333740234375,551.9641723632812,0.9982736110687256,1196.3475341796875,597.5873413085938,0.999131441116333
17,1228.5338134765625,241.87216186523438,0.9991252422332764,1163.8294677734375,392.4212646484375,0.9915615320205688,1248.44384765625,550.7191162109375,0.9983037710189819,1196.171142578125,597.6207885742188,0.9990357756614685
18,1225.7958984375,241.46524047851562,0.998772144317627,1160.4088134765625,392.9073486328125,0.9942169189453125,1247.9248046875,550.0847778320312,0.9977344274520874,1196.2080078125,597.8458862304688,0.9989963173866272
19,1226.084228515625,241.88058471679688,0.998176097869873,1158.9608154296875,387.6690979003906,0.9837461113929749,1247.3621826171875,550.2704467773438,0.998353123664856,1196.251953125,597.848876953125,0.9987920522689819
20,1224.333251953125,240.05035400390625,0.9986149072647095,1160.09716796875,387.9189147949219,0.9877363443374634,1246.173095703125,549.2089233398438,0.9985993504524231,1196.000732421875,597.6339721679688,0.9988805055618286
21,1224.784912109375,240.5272979736328,0.9977024793624878,1159.1224365234375,390.5544738769531,0.9895041584968567,1245.98095703125,549.4279174804688,0.9989076256752014,1196.6531982421875,598.0843505859375,0.9987624883651733
22,1222.7711181640625,241.33290100097656,0.9985868334770203,1158.571044921875,391.8625183105469,0.9970970153808594,1245.5819091796875,549.9793701171875,0.9988332986831665,1196.5389404296875,598.0967407226562,0.9985741972923279
23,1222.7139892578125,241.38888549804688,0.9992738366127014,1157.29541015625,390.9791564941406,0.9945988655090332,1245.8314208984375,550.4307250976562,0.9988307952880859,1196.9569091796875,598.374267578125,0.9984720349311829
24,1217.8338623046875,240.67141723632812,0.9988434314727783,1156.1243896484375,388.6851806640625,0.997368574142456,1245.3736572265625,550.5296630859375,0.9987703561782837,1196.047119140625,597.478515625,0.9988069534301758
25,1222.9405517578125,241.427734375,0.9990658164024353,1154.3914794921875,389.5544738769531,0.9970722794532776,1245.2484130859375,551.2249145507812,0.9986377954483032,1196.2010498046875,597.5914306640625,0.9988270401954651
26,1217.5892333984375,240.77899169921875,0.9988685846328735,1152.4404296875,390.4174499511719,0.999201238155365,1244.5086669921875,551.6022338867188,0.9984914064407349,1196.07275390625,597.9364013671875,0.9985848665237427
27,1217.8443603515625,242.64967346191406,0.9989902973175049,1153.3245849609375,390.0847473144531,0.9985374212265015,1244.1788330078125,551.592529296875,0.998376727104187,1196.073974609375,598.2122192382812,0.9981271028518677
28,1215.9832763671875,243.6457977294922,0.9986763000488281,1152.8026123046875,390.2815856933594,0.9989229440689087,1243.7626953125,551.392578125,0.9979779720306396,1196.042236328125,598.2824096679688,0.9980772137641907
29,1215.80517578125,241.5411376953125,0.9978337287902832,1151.6319580078125,391.4853515625,0.9987487196922302,1243.2930908203125,553.0836791992188,0.9974541664123535,1196.3505859375,598.6419067382812,0.9982012510299683
30,1213.439208984375,242.95899963378906,0.9983587265014648,1151.5670166015625,391.0152282714844,0.9987841844558716,1242.209716796875,552.2493286132812,0.9974431991577148,1196.22119140625,598.3567504882812,0.9981366991996765
