scorer,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000,DLC_resnet50_LRN_reachJul8shuffle1_200000
bodyparts,scapula,scapula,scapula,shoulder,shoulder,shoulder,elbow,elbow,elbow,wrist,wrist,wrist
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,1376.542724609375,326.3602600097656,0.9975255131721497,1303.43212890625,428.8441467285156,0.9988973140716553,1305.744140625,631.9544677734375,0.9982898235321045,1127.864501953125,625.62109375,0.9994633197784424
9,1376.0458984375,326.4374694824219,0.9970270395278931,1304.0377197265625,428.816650390625,0.998898983001709,1305.57861328125,631.7122192382812,0.9985346794128418,1127.54541015625,625.2057495117188,0.9995883703231812
10,1375.8101806640625,325.62786865234375,0.9974383115768433,1304.259033203125,428.1544494628906,0.9986451864242554,1305.6787109375,630.7471313476562,0.9987660646438599,1128.119140625,624.4192504882812,0.9993637800216675
11,1375.8995361328125,325.8074035644531,0.9978591203689575,1304.2255859375,428.931640625,0.9987068772315979,1304.927490234375,631.0045776367188,0.9984786510467529,1128.2701416015625,624.1498413085938,0.9992314577102661
12,1376.6466064453125,326.4283142089844,0.9980624914169312,1303.71630859375,427.82012939453125,0.9987121224403381,1305.1214599609375,631.2246704101562,0.9984551668167114,1128.127197265625,624.2034912109375,0.9993946552276611
13,1375.81298828125,324.9381103515625,0.9988820552825928,1303.3026123046875,428.3431091308594,0.9988143444061279,1304.167236328125,631.3275756835938,0.9983595609664917,1128.7142333984375,624.7921142578125,0.99937903881073
14,1375.55859375,325.3272705078125,0.9990233182907104,1303.1107177734375,429.0622253417969,0.9989122748374939,1305.05908203125,631.123291015625,0.9983288049697876,1128.80615234375,624.7058715820312,0.9993959665298462
15,1376.7359619140625,325.6102294921875,0.9982724189758301,1303.3485107421875,427.7055358886719,0.9987561702728271,1305.378173828125,631.9338989257812,0.9980151653289795,1129.240966796875,625.8564453125,0.9993804693222046
16,1377.442626953125,326.61224365234375,0.9986827969551086,1302.7691650390625,426.642333984375,0.9985790252685547,1306.160400390625,631.9179077148438,0.9978427886962891,1128.76025390625,627.0236206054688,0.9994181394577026
17,1376.64453125,326.7881164550781,0.9987897872924805,1303.6048583984375,428.0261535644531,0.9987318515777588,1306.403076171875,632.1765747070312,0.9985532760620117,1129.060791015625,626.7965698242188,0.9996320009231567
18,1376.4639892578125,326.9459533691406,0.9989376068115234,1303.6575927734375,429.41436767578125,0.998551607131958,1305.9754638671875,632.6004638671875,0.9983477592468262,1126.9046630859375,627.9923095703125,0.9997862577438354
19,1376.1368408203125,328.4085388183594,0.9980597496032715,1303.994384765625,430.3013916015625,0.9982619881629944,1305.99365234375,633.3011474609375,0.9976091980934143,1127.3594970703125,628.4994506835938,0.9997546672821045
20,1375.851806640625,328.38653564453125,0.9973129630088806,1303.8148193359375,432.1709899902344,0.9986127614974976,1306.553466796875,633.1837768554688,0.997803807258606,1127.958740234375,629.5277709960938,0.9996220469474792
21,1374.9945068359375,327.496826171875,0.9985189437866211,1303.65234375,432.40679931640625,0.9986141324043274,1307.0130615234375,633.3267211914062,0.9975961446762085,1129.662353515625,629.3240356445312,0.9994003176689148
22,1374.6580810546875,327.23583984375,0.9986246824264526,1304.0330810546875,432.1699523925781,0.9984790086746216,1307.4244384765625,633.26904296875,0.9978160858154297,1130.263427734375,629.3171997070312,0.9993795156478882
23,1373.328125,327.7685241699219,0.9992957711219788,1302.937744140625,430.6272888183594,0.9982843399047852,1308.1165771484375,633.7291870117188,0.997530460357666,1130.0850830078125,630.1163940429688,0.9992986917495728
24,1374.7611083984375,326.27410888671875,0.998947262763977,1303.624267578125,430.3327941894531,0.9981125593185425,1307.6505126953125,634.8405151367188,0.9975854158401489,1130.7535400390625,630.8355712890625,0.9992163181304932
25,1374.313232421875,326.9134521484375,0.9989710450172424,1303.25830078125,430.06219482421875,0.9985106587409973,1307.7239990234375,634.7410278320312,0.9978669285774231,1132.0264892578125,631.1641845703125,0.9994651079177856
26,1373.2548828125,326.3514709472656,0.9992470145225525,1304.0418701171875,429.2015380859375,0.9985324144363403,1308.6170654296875,635.349365234375,0.9976532459259033,1134.219970703125,630.2618408203125,0.9996362328529358
27,1373.9573974609375,327.2422180175781,0.9989186525344849,1303.6302490234375,429.1966857910156,0.998733401298523,1310.1640625,637.3388671875,0.9976394176483154,1134.349365234375,630.016845703125,0.9996479749679565
28,1373.3089599609375,326.22930908203125,0.9990355968475342,1302.9571533203125,429.02398681640625,0.9986302852630615,1310.9031982421875,637.2191772460938,0.9977424144744873,1134.639404296875,630.6364135742188,0.9995889663696289
29,1372.9166259765625,326.4223937988281,0.9988813400268555,1302.7452392578125,430.89117431640625,0.9983419179916382,1310.7314453125,637.3817138671875,0.9979292154312134,1134.9949951171875,631.2662353515625,0.9996259212493896
30,1372.24169921875,325.5895080566406,0.9992973804473877,1302.964599609375,431.8868713378906,0.9984543323516846,1311.129150390625,637.156494140625,0.9979225993156433,1134.7999267578125,631.4761352539062,0.9996294975280762
