video_path,totalframes,totalsec,timestamp,time_gen,framenumber,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat5/2024-02-22_16_02_48,1000,40,00:18,18.00,450.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat7/2024-02-22_15_32_31,1000,40,00:25,25.00,625.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat7/2024-02-22_15_31_10,1000,40,00:23,23.00,575.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat7/2024-02-22_15_29_04,1000,40,00:27,27.00,675.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat7/2024-02-22_15_27_43,1000,40,00:21,21.00,525.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat7/2024-02-22_15_25_32,1000,40,00:27,27.00,675.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat12/2024-02-22_15_49_48,1000,40,00:24,24.00,600.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat12/2024-02-22_15_48_33,1000,40,00:05,5.00,125.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat12/2024-02-22_15_47_43,1000,40,00:19,19.00,475.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat12/2024-02-22_15_45_01,1000,40,00:23,23.00,575.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat12/2024-02-22_15_43_07,1000,40,00:24,24.00,600.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat12/2024-02-22_15_41_55,1000,40,00:26,26.00,650.00,,,,,
/zfsr01/storage/ThomasReaching/presurg/post_slash/cam2/rat12/2024-02-22_15_40_46,1000,40,00:11,11.00,275.00,,,,,
